data_inicio,data_fim,id_evento,gravidade,descricao,latitude,longitude,tipo_ocorrencia
2022-01-29 16:43:09.000000 UTC,2022-01-29 18:04:36.000000 UTC,70606,Baixo,"Av. heitor beltrão, alt. r. visconde de figueiredo - tijuca - ambos os sentidos",-22.9207824,-43.22422,Bolsão d'água em via
2022-01-07 10:36:32.000000 UTC,2022-01-07 11:34:33.000000 UTC,69945,Baixo,"R. haddock lobo, 285 - tijuca",-22.9203506,-43.2156725,Bolsão d'água em via
2022-01-16 20:46:04.000000 UTC,2022-01-16 21:26:01.000000 UTC,70224,Baixo,"Rua ten. cleto campelo, 871 - cocotá",-22.8083092,-43.1834453,Bolsão d'água em via
2022-01-16 19:45:47.000000 UTC,2022-01-16 21:24:30.000000 UTC,70215,Baixo,"Rua grana, 1433 - cocotá",-22.8059197,-43.1842716,Bolsão d'água em via
2022-01-29 15:18:08.000000 UTC,2022-01-29 17:36:26.000000 UTC,70585,Baixo,"Estr. do galeão, alt. base aérea - ilha do governador - sent. linha vermelha",-22.811957,-43.2181706,Bolsão d'água em via
2022-01-30 21:13:35.000000 UTC,2022-01-30 23:49:04.000000 UTC,70658,Baixo,Estrada do galeão - alt restaurante siri da ilha - galeão,-22.8207517,-43.227208999999988,Bolsão d'água em via
2022-01-17 06:46:46.000000 UTC,2022-01-17 11:12:33.000000 UTC,70240,Baixo,"Rua teixeira de freitas, alt. r. mte. valentim - glória - sent. flamengo",-22.9149843,-43.176116,Bolsão d'água em via
2022-01-11 17:39:36.000000 UTC,2022-01-11 19:21:55.000000 UTC,70100,Baixo,"R. da glória, 148 - glória",-22.918393,-43.1771644,Bolsão d'água em via
2022-01-30 21:28:54.000000 UTC,2022-01-30 21:53:14.000000 UTC,70660,Baixo,R. vinícius de moraes - alt. av. eptácio pessoa - ipanema,-22.9833705,-43.2027195,Bolsão d'água em via
2022-01-11 17:04:29.000000 UTC,2022-01-11 19:13:34.000000 UTC,70086,Baixo,Av. epitácio pessoa - alt r. vinícius de moraes - ipanema,-22.9832664,-43.2027898,Bolsão d'água em via
2022-01-08 01:30:46.000000 UTC,2022-01-08 02:43:34.000000 UTC,69970,Baixo,"Av. epitácio pessoa - alt. r. vinícius de moraes, 290 - ipanema",-22.9797488,-43.2024596,Bolsão d'água em via
2022-01-29 15:53:58.000000 UTC,2022-01-29 17:36:21.000000 UTC,70596,Baixo,"R. ariperana, 150 - taquara",-22.9152066,-43.376088,Bolsão d'água em via
2022-01-08 14:12:05.000000 UTC,2022-01-08 17:50:26.000000 UTC,69994,Baixo,Av. chrisóstomo pimentel de oliveira -alt. via light - anchieta,-22.8164293,-43.384932,Bolsão d'água em via
2022-01-11 18:19:43.000000 UTC,2022-01-11 18:51:15.000000 UTC,70110,Baixo,"R. teodoro da silva, alt. alexandre calaza - andaraí",-22.9184206,-43.2500594,Bolsão d'água em via
2022-01-11 17:00:47.000000 UTC,2022-01-11 18:49:20.000000 UTC,70085,Baixo,R. silveira martins - atlt. r. do catete,-22.92586,-43.176988,Bolsão d'água em via
2022-01-08 01:27:19.000000 UTC,2022-01-08 05:05:22.000000 UTC,69969,Baixo,Rua humaitá - alt. r. fonte da saudade - humaitá,-22.9602307,-43.2031224,Bolsão d'água em via
2022-01-07 11:31:27.000000 UTC,2022-01-07 11:33:47.000000 UTC,69949,Baixo,"Av. de santa cruz, 1475 - realengo",-22.8782754,-43.4377504,Bolsão d'água em via
2022-01-03 18:48:09.000000 UTC,2022-01-03 19:30:53.000000 UTC,69832,Baixo,Av. dom joão vi - alt. acesso túnel da grota - sent. barra,-23.011313060701795,-43.534514957739255,Bolsão d'água em via
2022-01-27 17:06:17.000000 UTC,2022-01-27 18:36:43.000000 UTC,70528,Baixo,R. conselheiro galvão - alt. av. min. edgar romero - madureira,-22.8724265,-43.3364431,Bolsão d'água em via
2022-01-08 01:15:40.000000 UTC,2022-01-08 01:44:11.000000 UTC,69968,Baixo,"Av. min. edgard romero, alt. r. conselheiro galvão - madureira - sent. vaz lobo",-22.8661268,-43.3343465,Bolsão d'água em via
2022-01-07 09:15:29.000000 UTC,2022-01-07 10:18:11.000000 UTC,69934,Baixo,R. max yantok - bancários - ilha do gov.,-22.7917275,-43.182906,Bolsão d'água em via
2022-01-16 20:01:34.000000 UTC,2022-01-16 23:19:26.000000 UTC,70219,Baixo,"R. gipóia, alt. r. max yantok - bancários",-22.7908796,-43.1835052,Bolsão d'água em via
2022-01-16 21:03:24.000000 UTC,2022-01-16 23:11:28.000000 UTC,70229,Baixo,"R. carice, alt. r. quatis - bancários",-22.7929809,-43.1856678,Bolsão d'água em via
2022-01-16 20:53:45.000000 UTC,2022-01-16 23:12:25.000000 UTC,70225,Baixo,R. benedito patrício - bancários,-22.7910537,-43.181782,Bolsão d'água em via
2022-01-11 17:39:59.000000 UTC,2022-01-11 19:18:35.000000 UTC,70099,Baixo,R. cardoso de morais - bonsucesso,-22.859998,-43.255895,Bolsão d'água em via
2022-01-11 17:00:15.000000 UTC,2022-01-11 19:33:07.000000 UTC,70084,Baixo,"R. silva vale, alt. r. tumucumaque - cavalcante",-22.870391359296228,-43.312117242080696,Bolsão d'água em via
